       N;       lnN;td
818;9,675957033;0,235935208
819;9,677719642;0,235934066
820;9,6794801;0,235932927
821;9,681238412;0,23593179
822;9,682994584;0,235930657
823;9,68474862;0,235929526
824;9,686500527;0,235928398
825;9,688250309;0,235927273
826;9,689997971;0,23592615
827;9,691743519;0,23592503
828;9,693486957;0,235923913
829;9,695228291;0,235922799
830;9,696967526;0,235921687
831;9,698704667;0,235920578
832;9,700439718;0,235919471
833;9,702172685;0,235918367
834;9,703903573;0,235917266
835;9,705632387;0,235916168
836;9,707359132;0,235915072
837;9,709083813;0,235913978
838;9,710806434;0,235912888
839;9,712527;0,2359118
840;9,714245518;0,235910714
841;9,71596199;0,235909631
842;9,717676423;0,235908551
843;9,719388821;0,235907473
844;9,721099189;0,235906398
845;9,722807531;0,235905325
846;9,724513853;0,235904255
847;9,726218159;0,235903188
848;9,727920455;0,235902123
849;9,729620744;0,23590106
850;9,731319031;0,2359
851;9,733015322;0,235898942
852;9,73470962;0,235897887
853;9,736401931;0,235896835
854;9,73809226;0,235895785
855;9,73978061;0,235894737
856;9,741466986;0,235893692
857;9,743151394;0,235892649
858;9,744833837;0,235891608
859;9,746514321;0,23589057
860;9,74819285;0,235889535
861;9,749869427;0,235888502
862;9,751544059;0,235887471
863;9,753216749;0,235886443
864;9,754887502;0,235885417
865;9,756556323;0,235884393
866;9,758223215;0,235883372
867;9,759888183;0,235882353
868;9,761551232;0,235881336
869;9,763212367;0,235880322
870;9,764871591;0,23587931
871;9,766528909;0,235878301
872;9,768184325;0,235877294
873;9,769837844;0,235876289
874;9,77148947;0,235875286
875;9,773139207;0,235874286
876;9,77478706;0,235873288
877;9,776433032;0,235872292
878;9,77807713;0,235871298
879;9,779719355;0,235870307
880;9,781359714;0,235869318
881;9,782998209;0,235868331
882;9,784634846;0,235867347
883;9,786269628;0,235866365
884;9,787902559;0,235865385
885;9,789533645;0,235864407
886;9,791162889;0,235863431
887;9,792790294;0,235862458
888;9,794415866;0,235861486
889;9,796039609;0,235860517
890;9,797661526;0,235859551
891;9,799281622;0,235858586
892;9,8008999;0,235857623
893;9,802516365;0,235856663
894;9,804131021;0,235855705
895;9,805743872;0,235854749
896;9,807354922;0,235853795
897;9,808964175;0,235852843
898;9,810571635;0,235851893
899;9,812177306;0,235850945
900;9,813781191;0,23585
901;9,815383296;0,235849057
902;9,816983623;0,235848115
903;9,818582177;0,235847176
904;9,820178962;0,235846239
905;9,821773982;0,235845304
906;9,82336724;0,235844371
907;9,824958741;0,23584344
908;9,826548487;0,235842511
909;9,828136484;0,235841584
910;9,829722735;0,235840659
911;9,831307244;0,235839737
912;9,832890014;0,235838816
913;9,83447105;0,235837897
914;9,836050355;0,23583698
915;9,837627933;0,235836066
916;9,839203788;0,235835153
917;9,840777924;0,235834242
918;9,842350343;0,235833333
919;9,843921051;0,235832427
920;9,845490051;0,235831522
921;9,847057346;0,235830619
922;9,84862294;0,235829718
923;9,850186838;0,235828819
924;9,851749041;0,235827922
925;9,853309555;0,235827027
926;9,854868383;0,235826134
927;9,856425529;0,235825243
928;9,857980995;0,235824353
929;9,859534786;0,235823466
930;9,861086906;0,235822581
931;9,862637358;0,235821697
932;9,864186145;0,235820815
933;9,865733271;0,235819936
934;9,86727874;0,235819058
935;9,868822555;0,235818182
936;9,87036472;0,235817308
937;9,871905238;0,235816435
938;9,873444113;0,235815565
939;9,874981348;0,235814696
940;9,876516947;0,23581383
941;9,878050913;0,235812965
942;9,87958325;0,235812102
943;9,881113961;0,235811241
944;9,882643049;0,235810381
945;9,884170519;0,235809524
946;9,885696373;0,235808668
947;9,887220615;0,235807814
948;9,888743249;0,235806962
949;9,890264277;0,235806112
950;9,891783703;0,235805263
951;9,893301531;0,235804416
952;9,894817763;0,235803571
953;9,896332404;0,235802728
954;9,897845456;0,235801887
955;9,899356923;0,235801047
956;9,900866808;0,235800209
957;9,902375114;0,235799373
958;9,903881846;0,235798539
959;9,905387005;0,235797706
960;9,906890596;0,235796875
961;9,908392621;0,235796046
962;9,909893084;0,235795218
963;9,911391988;0,235794393
964;9,912889336;0,235793568
965;9,914385132;0,235792746
966;9,915879379;0,235791925
967;9,917372079;0,235791107
968;9,918863237;0,235790289
969;9,920352855;0,235789474
970;9,921840937;0,23578866
971;9,923327485;0,235787848
972;9,924812504;0,235787037
973;9,926295995;0,235786228
974;9,927777962;0,235785421
975;9,929258409;0,235784615
976;9,930737338;0,235783811
977;9,932214752;0,235783009
978;9,933690655;0,235782209
979;9,93516505;0,23578141
980;9,936637939;0,235780612
981;9,938109326;0,235779817
982;9,939579214;0,235779022
983;9,941047606;0,23577823
984;9,942514505;0,235777439
985;9,943979914;0,23577665
986;9,945443836;0,235775862
987;9,946906274;0,235775076
988;9,948367232;0,235774291
989;9,949826711;0,235773509
990;9,951284715;0,235772727
991;9,952741247;0,235771948
992;9,95419631;0,235771169
993;9,955649908;0,235770393
994;9,957102042;0,235769618
995;9,958552715;0,235768844
996;9,960001932;0,235768072
997;9,961449694;0,235767302
998;9,962896005;0,235766533
999;9,964340868;0,235765766
1000;9,965784285;0,235765
1001;9,967226259;0,235764236
1002;9,968666793;0,235763473
1003;9,970105891;0,235762712
1004;9,971543554;0,235761952
1005;9,972979786;0,235761194
